datetime,open,high,low,close,volume
2023-04-01 02:00:00,317.1,319.4,313.4,315.0,43181.193
2023-04-02 02:00:00,315.0,316.3,310.5,314.0,20984.248
2023-04-03 02:00:00,313.8,314.8,299.4,308.8,46425.174
2023-04-04 02:00:00,308.8,312.7,308.1,310.8,28960.493
2023-04-05 02:00:00,310.8,318.1,310.2,314.0,28993.293
2023-04-06 02:00:00,314.1,315.3,310.5,312.4,24082.154
2023-04-07 02:00:00,312.4,312.9,309.5,310.6,12387.763
2023-04-08 02:00:00,310.6,313.0,310.3,310.8,10272.455
2023-04-09 02:00:00,310.8,313.9,309.4,312.9,13065.08
2023-04-10 02:00:00,312.9,318.8,311.6,318.7,28362.306
2023-04-11 02:00:00,318.9,334.8,317.3,322.7,55430.589
2023-04-12 02:00:00,322.8,323.9,316.9,320.1,27084.992
2023-04-13 02:00:00,320.2,326.2,318.0,324.9,35746.618
2023-04-14 02:00:00,325.0,336.0,323.6,329.2,48745.357
2023-04-15 02:00:00,329.1,336.3,327.2,333.4,34227.377
2023-04-16 02:00:00,333.3,352.2,330.4,347.9,69392.864
2023-04-17 02:00:00,347.9,350.7,337.6,340.1,43894.13
2023-04-18 02:00:00,340.1,346.7,337.3,343.2,47271.805
2023-04-19 02:00:00,343.0,344.0,320.6,322.6,53713.301
2023-04-20 02:00:00,322.5,326.9,315.2,318.1,32744.757
2023-04-21 02:00:00,318.0,333.1,315.5,321.3,86007.272
2023-04-22 02:00:00,321.3,333.4,320.0,332.3,45650.003
2023-04-23 02:00:00,332.2,332.4,327.3,330.7,31097.014
2023-04-24 02:00:00,330.6,334.2,327.3,331.3,39088.542
2023-04-25 02:00:00,331.3,340.0,328.4,338.4,40773.383
2023-04-26 02:00:00,338.6,345.8,322.9,330.7,74040.656
2023-04-27 02:00:00,330.5,337.5,328.4,330.9,50061.904
2023-04-28 02:00:00,331.2,331.4,318.0,324.3,88252.327
2023-04-29 02:00:00,324.4,325.0,321.5,322.1,18562.279
2023-04-30 02:00:00,322.1,339.1,320.5,337.7,63945.573
