datetime,open,high,low,close,volume
2022-10-01 02:00:00,284.6,285.4,278.0,282.9,37453.038
2022-10-02 02:00:00,282.8,287.8,279.5,284.7,38112.695
2022-10-03 02:00:00,284.9,289.1,283.7,287.1,48259.658
2022-10-04 02:00:00,287.1,299.0,286.1,296.3,53191.879
2022-10-05 02:00:00,296.3,296.7,288.0,294.2,44223.682
2022-10-06 02:00:00,294.2,298.0,278.8,286.9,100349.324
2022-10-07 02:00:00,287.0,287.0,279.2,282.3,75220.238
2022-10-08 02:00:00,282.2,282.7,275.4,276.4,27762.461
2022-10-09 02:00:00,276.4,279.4,275.1,278.3,24173.005
2022-10-10 02:00:00,278.2,279.2,271.1,271.5,33778.429
2022-10-11 02:00:00,271.5,273.9,267.5,271.3,31418.706
2022-10-12 02:00:00,271.4,272.8,269.3,270.9,24324.521
2022-10-13 02:00:00,270.9,273.7,255.0,271.7,73951.807
2022-10-14 02:00:00,271.8,277.1,267.7,269.5,42075.368
2022-10-15 02:00:00,269.6,271.4,267.6,268.2,18776.578
2022-10-16 02:00:00,268.2,274.0,268.0,272.5,21657.142
2022-10-17 02:00:00,272.6,276.0,269.7,275.6,27618.596
2022-10-18 02:00:00,275.8,276.0,270.1,273.2,30288.225
2022-10-19 02:00:00,273.1,273.8,270.4,271.9,19735.821
2022-10-20 02:00:00,271.9,273.6,267.6,269.0,31409.385
2022-10-21 02:00:00,269.0,271.2,263.4,270.1,28903.061
2022-10-22 02:00:00,270.2,271.1,268.4,270.4,16722.804
2022-10-23 02:00:00,270.4,277.1,268.8,276.0,25000.433
2022-10-24 02:00:00,275.9,277.2,271.7,274.1,26181.437
2022-10-25 02:00:00,274.1,290.1,272.1,284.3,71000.743
2022-10-26 02:00:00,284.6,292.2,284.3,290.4,60649.417
2022-10-27 02:00:00,290.1,293.3,284.6,286.8,45857.483
2022-10-28 02:00:00,286.7,301.0,285.8,298.0,70754.535
2022-10-29 02:00:00,298.0,308.5,289.8,304.6,106484.49
2022-10-30 02:00:00,304.6,318.9,302.4,313.6,127998.214
2022-10-31 01:00:00,313.6,337.8,306.8,325.7,201668.703
