datetime,open,high,low,close,volume
2025-04-01 02:00:00,604.7,618.6,604.5,611.2,21942.641
2025-04-02 02:00:00,611.3,612.9,583.9,590.4,25982.414
2025-04-03 02:00:00,590.6,610.0,578.8,592.4,20010.035
2025-04-04 02:00:00,592.9,600.1,585.0,597.4,12824.361
2025-04-05 02:00:00,597.2,598.7,588.9,593.2,2538.986
2025-04-06 02:00:00,593.1,593.7,544.2,555.2,12520.729
2025-04-07 02:00:00,554.9,567.1,518.8,554.6,30522.943
2025-04-08 02:00:00,554.3,566.3,547.1,553.3,15865.112
2025-04-09 02:00:00,554.2,586.4,534.2,582.2,27489.655
2025-04-10 02:00:00,582.6,583.1,565.6,577.6,21671.709
2025-04-11 02:00:00,578.0,590.5,575.2,585.8,19749.897
2025-04-12 02:00:00,586.0,600.7,583.9,597.2,6641.614
2025-04-13 02:00:00,597.4,598.4,579.0,584.0,7738.537
2025-04-14 02:00:00,584.0,594.1,582.8,584.3,8943.717
2025-04-15 02:00:00,584.9,592.5,579.3,579.6,9066.539
2025-04-16 02:00:00,579.4,586.2,575.9,582.7,7937.998
2025-04-17 02:00:00,582.4,593.1,581.0,590.3,7597.606
2025-04-18 02:00:00,590.5,595.9,587.0,591.6,9371.644
2025-04-19 02:00:00,591.7,594.5,587.2,591.5,6076.236
2025-04-20 02:00:00,591.6,595.0,587.0,592.5,7869.103
2025-04-21 02:00:00,592.7,608.2,592.3,597.3,10482.228
2025-04-22 02:00:00,597.4,621.7,594.4,618.6,16971.276
2025-04-23 02:00:00,619.8,620.4,601.6,605.7,13803.544
2025-04-24 02:00:00,605.9,607.0,593.5,601.7,11126.741
2025-04-25 02:00:00,601.5,610.3,597.1,600.4,12556.613
2025-04-26 02:00:00,600.2,609.7,599.6,607.4,8055.614
2025-04-27 02:00:00,607.7,608.6,597.5,603.8,3153.011
2025-04-28 02:00:00,603.9,608.4,598.9,606.4,5238.781
2025-04-29 02:00:00,606.4,611.0,598.7,601.2,6074.298
2025-04-30 02:00:00,601.3,604.9,592.7,600.1,5372.983
