datetime,open,high,low,close,volume
2025-09-01 02:00:00,858.1,868.5,839.5,846.1,17164.96
2025-09-02 02:00:00,845.6,857.6,841.1,852.1,7190.957
2025-09-03 02:00:00,852.1,864.4,849.4,855.3,4437.723
2025-09-04 02:00:00,855.9,857.4,841.8,844.1,4692.729
2025-09-05 02:00:00,844.4,858.0,842.5,850.1,9399.059
2025-09-06 02:00:00,849.8,864.7,849.5,861.3,7594.096
2025-09-07 02:00:00,862.0,884.0,861.0,880.3,8102.834
2025-09-08 02:00:00,880.4,885.7,870.1,877.9,7591.827
2025-09-09 02:00:00,878.5,884.9,871.3,880.1,7038.056
2025-09-10 02:00:00,880.0,907.2,877.3,893.6,11968.348
2025-09-11 02:00:00,893.8,904.6,888.6,902.8,9244.417
2025-09-12 02:00:00,903.5,929.8,901.6,925.3,11445.035
2025-09-13 02:00:00,925.3,949.6,922.8,934.1,15116.54
2025-09-14 02:00:00,933.9,944.8,922.5,927.3,6194.828
2025-09-15 02:00:00,927.0,936.4,911.3,920.1,9171.844
2025-09-16 02:00:00,920.0,959.7,917.3,956.0,16773.667
2025-09-17 02:00:00,956.2,995.5,946.8,990.6,22833.063
2025-09-18 02:00:00,990.0,1006.9,979.9,981.3,19946.484
2025-09-19 02:00:00,981.8,1003.1,974.8,984.9,10946.642
2025-09-20 02:00:00,985.0,1048.4,983.9,1044.7,25645.458
2025-09-21 02:00:00,1044.6,1087.3,1040.5,1049.1,34085.878
2025-09-22 02:00:00,1048.6,1051.0,977.9,993.7,30826.195
2025-09-23 02:00:00,992.9,1027.7,963.5,1016.6,22148.485
2025-09-24 02:00:00,1016.3,1034.9,992.0,1019.1,15890.097
2025-09-25 02:00:00,1019.2,1020.4,939.7,946.4,26982.647
2025-09-26 02:00:00,946.3,966.9,933.4,961.7,13903.567
2025-09-27 02:00:00,961.5,986.6,956.7,969.5,8816.762
2025-09-28 02:00:00,969.5,994.4,964.1,993.6,6777.999
2025-09-29 02:00:00,993.7,1036.6,991.9,1030.6,15855.088
2025-09-30 02:00:00,1030.0,1034.7,993.7,1008.4,8744.333
