datetime,open,high,low,close,volume
2023-12-01 01:00:00,227.7,230.2,227.1,228.5,31156.994
2023-12-02 01:00:00,228.5,230.4,225.9,229.1,37076.153
2023-12-03 01:00:00,229.1,231.9,225.9,228.0,58678.397
2023-12-04 01:00:00,228.2,238.3,224.9,233.4,103370.549
2023-12-05 01:00:00,232.8,234.8,227.9,231.2,62064.332
2023-12-06 01:00:00,231.2,235.6,228.9,229.5,62062.96
2023-12-07 01:00:00,229.6,235.2,228.3,232.7,67334.011
2023-12-08 01:00:00,232.8,240.1,232.3,239.0,65411.87
2023-12-09 01:00:00,239.1,245.6,236.5,237.8,83204.607
2023-12-10 01:00:00,237.8,241.4,236.9,239.9,36038.883
2023-12-11 01:00:00,239.8,248.2,226.2,246.4,135530.967
2023-12-12 01:00:00,246.2,257.1,245.7,254.5,135581.395
2023-12-13 01:00:00,254.4,256.2,244.2,252.1,86860.88
2023-12-14 01:00:00,252.4,254.5,247.1,253.3,68228.133
2023-12-15 01:00:00,253.4,253.4,243.4,244.9,42670.106
2023-12-16 01:00:00,245.0,248.2,243.1,244.3,31173.412
2023-12-17 01:00:00,244.3,244.4,238.8,238.9,30670.146
2023-12-18 01:00:00,239.1,241.7,231.9,241.7,43974.087
2023-12-19 01:00:00,241.7,254.9,241.4,252.9,114394.523
2023-12-20 01:00:00,252.8,262.0,250.2,260.4,68361.178
2023-12-21 01:00:00,260.3,275.2,256.4,272.2,68356.0
2023-12-22 01:00:00,272.2,276.6,265.1,271.3,54231.102
2023-12-23 01:00:00,271.4,272.3,265.9,271.3,29223.114
2023-12-24 01:00:00,271.2,272.8,262.4,264.8,50779.492
2023-12-25 01:00:00,264.7,268.2,261.8,267.0,38415.347
2023-12-26 01:00:00,267.0,303.8,264.6,297.9,192074.453
2023-12-27 01:00:00,297.9,324.5,285.3,324.4,146239.824
2023-12-28 01:00:00,324.4,338.4,320.2,322.9,140673.287
2023-12-29 01:00:00,323.1,327.1,307.9,313.9,84171.372
2023-12-30 01:00:00,313.9,320.7,312.5,317.2,50897.554
2023-12-31 01:00:00,317.3,326.0,307.7,311.8,62258.045
