datetime,open,high,low,close,volume
2025-07-01 02:00:00,657.2,659.4,644.6,646.7,7124.65
2025-07-02 02:00:00,646.9,666.0,644.5,660.2,13399.354
2025-07-03 02:00:00,660.4,665.5,656.5,663.9,4991.314
2025-07-04 02:00:00,664.0,664.5,650.7,654.1,2365.608
2025-07-05 02:00:00,654.1,657.2,652.4,656.5,1237.783
2025-07-06 02:00:00,656.6,665.5,653.9,663.6,8552.605
2025-07-07 02:00:00,663.4,666.7,656.9,661.3,12033.436
2025-07-08 02:00:00,661.2,663.0,657.6,660.8,8940.656
2025-07-09 02:00:00,661.1,672.1,659.6,669.3,11695.904
2025-07-10 02:00:00,669.3,689.9,667.4,685.8,17475.268
2025-07-11 02:00:00,685.8,697.1,682.9,689.9,13216.306
2025-07-12 02:00:00,690.0,697.0,679.8,685.8,4470.197
2025-07-13 02:00:00,685.9,694.2,684.6,691.8,5197.375
2025-07-14 02:00:00,691.9,707.5,686.3,689.3,14804.691
2025-07-15 02:00:00,689.0,693.7,674.7,690.1,9854.58
2025-07-16 02:00:00,690.0,715.9,685.7,709.0,32981.461
2025-07-17 02:00:00,709.1,728.1,707.6,721.3,23201.673
2025-07-18 02:00:00,721.4,765.6,719.4,730.3,37617.425
2025-07-19 02:00:00,730.5,742.5,719.7,733.5,21922.112
2025-07-20 02:00:00,733.6,761.7,732.1,757.0,24302.153
2025-07-21 02:00:00,756.5,781.9,746.3,766.7,30849.297
2025-07-22 02:00:00,766.7,788.4,745.2,786.9,27385.654
2025-07-23 02:00:00,787.0,810.2,753.4,777.0,35459.279
2025-07-24 02:00:00,777.0,786.4,744.0,771.0,17240.879
2025-07-25 02:00:00,771.0,785.9,752.7,785.7,29198.972
2025-07-26 02:00:00,785.3,798.4,778.6,793.7,5862.735
2025-07-27 02:00:00,793.9,847.6,791.7,844.3,26704.983
2025-07-28 02:00:00,844.3,861.2,821.5,824.2,28495.264
2025-07-29 02:00:00,823.9,835.2,800.3,805.4,26529.195
2025-07-30 02:00:00,805.5,811.2,766.8,793.8,19789.359
2025-07-31 02:00:00,793.6,815.0,779.9,783.5,24539.792
