datetime,open,high,low,close,volume
2025-05-01 02:00:00,599.9,606.1,598.4,599.9,7467.135
2025-05-02 02:00:00,600.3,604.0,595.6,601.1,12880.005
2025-05-03 02:00:00,601.1,601.5,595.9,599.7,5874.828
2025-05-04 02:00:00,599.7,600.7,585.5,586.6,4818.485
2025-05-05 02:00:00,586.5,600.4,584.4,598.0,10230.297
2025-05-06 02:00:00,598.0,604.2,593.6,602.7,8182.064
2025-05-07 02:00:00,603.1,609.4,597.5,603.0,8376.381
2025-05-08 02:00:00,603.4,629.5,601.0,629.2,14369.169
2025-05-09 02:00:00,628.8,670.5,623.3,666.3,14377.285
2025-05-10 02:00:00,666.3,679.1,648.9,663.9,15200.207
2025-05-11 02:00:00,663.1,667.9,648.3,650.7,9635.539
2025-05-12 02:00:00,650.7,692.7,648.0,660.3,21819.319
2025-05-13 02:00:00,660.4,671.3,641.0,664.4,10792.226
2025-05-14 02:00:00,664.1,666.2,647.1,652.7,11944.704
2025-05-15 02:00:00,652.5,660.9,642.7,651.7,11216.825
2025-05-16 02:00:00,651.8,660.0,644.3,646.4,7221.136
2025-05-17 02:00:00,646.7,646.8,635.3,640.0,4960.81
2025-05-18 02:00:00,639.5,655.0,635.0,651.7,5493.103
2025-05-19 02:00:00,652.2,653.6,633.9,649.8,6666.409
2025-05-20 02:00:00,649.9,653.8,640.4,650.1,5957.499
2025-05-21 02:00:00,650.0,678.3,648.6,673.8,15430.611
2025-05-22 02:00:00,673.4,689.5,673.0,686.3,11086.899
2025-05-23 02:00:00,686.2,691.2,653.8,656.9,12734.026
2025-05-24 02:00:00,656.6,677.0,655.1,667.9,6823.882
2025-05-25 02:00:00,667.8,672.3,657.1,669.5,6304.332
2025-05-26 02:00:00,669.3,678.3,667.6,674.3,4458.193
2025-05-27 02:00:00,674.2,697.7,666.0,687.1,11263.994
2025-05-28 02:00:00,686.9,689.1,680.2,687.0,16327.694
2025-05-29 02:00:00,687.0,691.4,672.8,675.2,11224.811
2025-05-30 02:00:00,675.2,678.4,653.0,655.7,9985.85
2025-05-31 02:00:00,656.4,661.7,646.0,658.4,9230.528
