datetime,open,high,low,close,volume
2024-01-01 01:00:00,311.9,315.9,307.1,313.6,46232.497
2024-01-02 01:00:00,313.6,321.5,306.9,312.5,61412.376
2024-01-03 01:00:00,312.8,335.0,295.8,316.0,143546.38
2024-01-04 01:00:00,315.8,332.0,311.2,324.1,76742.125
2024-01-05 01:00:00,324.2,327.5,309.5,317.8,55948.19
2024-01-06 01:00:00,317.8,317.8,300.6,307.6,42182.11
2024-01-07 01:00:00,307.7,310.2,300.1,302.5,28417.707
2024-01-08 01:00:00,302.4,309.5,290.2,303.9,61818.16
2024-01-09 01:00:00,304.0,306.8,294.3,301.1,64203.357
2024-01-10 01:00:00,301.0,310.0,289.7,305.8,66404.945
2024-01-11 01:00:00,305.3,316.9,301.5,308.3,74061.389
2024-01-12 01:00:00,308.1,312.9,289.4,296.7,66348.258
2024-01-13 01:00:00,296.8,303.4,290.9,302.0,34972.698
2024-01-14 01:00:00,302.1,306.7,298.6,299.3,26296.578
2024-01-15 01:00:00,299.3,320.1,299.3,317.4,117381.391
2024-01-16 01:00:00,317.5,319.1,312.9,315.2,44157.021
2024-01-17 01:00:00,315.3,320.1,306.8,309.2,55798.624
2024-01-18 01:00:00,309.1,316.0,305.6,312.8,63538.512
2024-01-19 01:00:00,312.5,316.2,305.6,314.6,42855.382
2024-01-20 01:00:00,314.7,317.5,312.3,317.2,19801.054
2024-01-21 01:00:00,317.2,321.7,316.1,318.7,20850.749
2024-01-22 01:00:00,318.8,320.2,303.9,305.7,33672.043
2024-01-23 01:00:00,305.8,311.5,290.5,298.6,41777.509
2024-01-24 01:00:00,298.6,300.7,290.2,293.1,41996.054
2024-01-25 01:00:00,292.9,296.5,287.6,292.0,46088.858
2024-01-26 01:00:00,292.1,304.6,290.9,302.0,39369.322
2024-01-27 01:00:00,301.9,307.7,301.8,305.7,19743.192
2024-01-28 01:00:00,305.8,308.9,303.1,305.2,25629.309
2024-01-29 01:00:00,304.9,311.0,304.4,310.7,25047.058
2024-01-30 01:00:00,310.7,313.3,306.1,307.7,19930.06
2024-01-31 01:00:00,308.1,308.3,298.3,300.2,24127.501
