datetime,open,high,low,close,volume
2025-02-01 01:00:00,677.0,681.3,650.5,653.1,12607.758
2025-02-02 01:00:00,652.6,663.0,600.4,617.4,26010.03
2025-02-03 01:00:00,617.8,619.3,508.1,617.6,70283.712
2025-02-04 01:00:00,618.5,619.9,558.3,572.9,22314.848
2025-02-05 01:00:00,573.4,579.2,561.4,569.5,13003.656
2025-02-06 01:00:00,569.7,590.2,568.9,572.2,15760.181
2025-02-07 01:00:00,572.1,590.5,570.8,578.0,11689.84
2025-02-08 01:00:00,577.2,634.0,573.9,612.8,33617.777
2025-02-09 01:00:00,612.9,648.6,603.1,616.2,43525.471
2025-02-10 01:00:00,616.4,622.5,596.7,618.8,22610.842
2025-02-11 01:00:00,618.9,647.0,615.4,642.3,40967.386
2025-02-12 01:00:00,641.8,705.5,627.0,697.2,64105.358
2025-02-13 01:00:00,696.8,732.5,659.4,665.2,121194.397
2025-02-14 01:00:00,665.6,685.1,652.1,659.8,34785.56
2025-02-15 01:00:00,659.2,671.4,653.7,662.3,15377.985
2025-02-16 01:00:00,662.0,686.1,653.6,673.4,22441.457
2025-02-17 01:00:00,673.2,682.4,658.6,667.8,19065.68
2025-02-18 01:00:00,667.8,668.6,630.1,648.1,22177.657
2025-02-19 01:00:00,647.8,664.3,637.2,653.9,18135.315
2025-02-20 01:00:00,653.2,659.5,646.5,656.8,11695.108
2025-02-21 01:00:00,657.2,668.6,634.7,647.4,16211.717
2025-02-22 01:00:00,647.5,679.9,644.8,668.9,24883.982
2025-02-23 01:00:00,668.8,671.4,649.0,658.4,10219.728
2025-02-24 01:00:00,658.8,659.6,611.2,614.8,18223.327
2025-02-25 01:00:00,616.0,628.5,586.9,623.2,47865.441
2025-02-26 01:00:00,622.7,631.7,594.5,611.2,41358.512
2025-02-27 01:00:00,612.1,619.4,595.3,605.5,25966.633
2025-02-28 01:00:00,605.5,606.1,559.8,588.3,35964.226
