datetime,open,high,low,close,volume
2023-11-01 01:00:00,226.4,229.8,222.5,228.1,31867.146
2023-11-02 01:00:00,228.3,233.8,227.7,231.8,46162.816
2023-11-03 01:00:00,231.8,232.5,225.8,230.4,40188.043
2023-11-04 01:00:00,230.4,238.8,229.6,237.3,33657.212
2023-11-05 01:00:00,237.4,245.8,236.5,244.2,55879.812
2023-11-06 01:00:00,244.1,255.7,241.8,255.2,70348.656
2023-11-07 01:00:00,255.3,255.7,242.4,246.3,51987.738
2023-11-08 01:00:00,246.2,248.4,244.1,246.7,52309.421
2023-11-09 01:00:00,246.4,255.8,241.3,251.6,76724.179
2023-11-10 01:00:00,251.4,258.4,248.4,251.2,53558.674
2023-11-11 01:00:00,251.1,255.1,246.3,251.6,39712.554
2023-11-12 01:00:00,251.6,252.0,244.8,247.5,29232.157
2023-11-13 01:00:00,247.5,250.2,240.8,241.2,38312.327
2023-11-14 01:00:00,241.1,249.4,234.2,242.2,51676.825
2023-11-15 01:00:00,242.2,254.8,242.2,254.0,72967.086
2023-11-16 01:00:00,253.9,255.8,240.2,242.6,50508.44
2023-11-17 01:00:00,242.7,245.9,238.5,244.9,37854.74
2023-11-18 01:00:00,244.9,245.4,238.8,244.9,23578.612
2023-11-19 01:00:00,245.0,247.1,242.1,246.6,20159.535
2023-11-20 01:00:00,246.7,268.4,238.8,253.2,123692.477
2023-11-21 01:00:00,253.2,274.2,222.3,225.7,390146.314
2023-11-22 01:00:00,225.4,238.5,224.9,236.2,143769.28
2023-11-23 01:00:00,236.3,239.2,230.4,233.8,57000.838
2023-11-24 01:00:00,233.8,236.9,231.8,232.8,48280.933
2023-11-25 01:00:00,232.9,235.8,232.5,234.5,29961.541
2023-11-26 01:00:00,234.5,234.5,228.3,231.8,22180.497
2023-11-27 01:00:00,231.9,232.9,222.6,227.3,57549.672
2023-11-28 01:00:00,227.3,232.0,224.4,229.6,35903.577
2023-11-29 01:00:00,229.7,231.3,225.6,227.3,32282.182
2023-11-30 01:00:00,227.3,229.2,226.0,227.6,29811.761
