datetime,open,high,low,close,volume
2025-01-01 01:00:00,701.5,710.2,699.5,707.1,9837.042
2025-01-02 01:00:00,707.1,715.6,697.5,705.7,22013.488
2025-01-03 01:00:00,705.9,715.7,696.9,714.6,29038.482
2025-01-04 01:00:00,715.2,721.7,708.2,713.4,13991.262
2025-01-05 01:00:00,713.6,713.8,702.1,709.2,6230.134
2025-01-06 01:00:00,710.2,745.5,706.1,729.8,21497.367
2025-01-07 01:00:00,729.9,733.4,690.9,698.1,19505.729
2025-01-08 01:00:00,697.6,707.3,675.8,696.2,25570.72
2025-01-09 01:00:00,695.9,702.0,674.7,685.6,22325.951
2025-01-10 01:00:00,686.1,702.2,683.5,693.0,19297.855
2025-01-11 01:00:00,693.1,701.5,690.3,696.8,8917.185
2025-01-12 01:00:00,696.9,698.5,689.8,693.1,6830.701
2025-01-13 01:00:00,693.4,699.9,657.5,688.6,22311.27
2025-01-14 01:00:00,688.4,700.6,686.5,699.1,13880.3
2025-01-15 01:00:00,699.3,715.3,688.6,714.7,15185.998
2025-01-16 01:00:00,715.1,717.4,700.5,708.2,17627.766
2025-01-17 01:00:00,708.2,730.1,708.2,721.8,20054.846
2025-01-18 01:00:00,722.3,723.5,694.8,708.8,18165.631
2025-01-19 01:00:00,708.6,714.7,673.6,682.5,35295.878
2025-01-20 01:00:00,680.4,710.0,664.3,681.7,56895.18
2025-01-21 01:00:00,682.4,697.9,673.0,692.2,24692.778
2025-01-22 01:00:00,692.3,703.8,689.8,695.1,17698.389
2025-01-23 01:00:00,694.9,697.2,674.9,690.0,36437.378
2025-01-24 01:00:00,690.1,691.5,677.5,680.3,16006.808
2025-01-25 01:00:00,679.6,689.4,677.7,686.2,6716.701
2025-01-26 01:00:00,686.6,691.0,664.2,667.2,6185.685
2025-01-27 01:00:00,666.8,681.1,637.2,680.1,34046.837
2025-01-28 01:00:00,680.1,683.1,659.1,661.2,17243.135
2025-01-29 01:00:00,661.5,679.3,659.3,667.9,10981.467
2025-01-30 01:00:00,668.4,683.4,665.6,677.6,8203.541
2025-01-31 01:00:00,677.8,690.3,673.6,677.4,12296.142
