datetime,open,high,low,close,volume
2022-01-01 01:00:00,511.9,534.1,504.9,527.7,100329.7022246
2022-01-02 01:00:00,527.0,541.3,514.6,531.4,87246.01735544
2022-01-03 01:00:00,530.9,538.0,503.4,511.8,105315.91389762
2022-01-04 01:00:00,511.5,528.0,497.1,507.0,120806.68771606
2022-01-05 01:00:00,507.6,522.8,458.5,474.1,165525.09882443
2022-01-06 01:00:00,474.5,486.0,457.1,472.9,159960.45241118
2022-01-07 01:00:00,472.0,473.7,431.6,447.9,175913.80062484
2022-01-08 01:00:00,448.7,461.1,404.0,430.0,173642.09175569
2022-01-09 01:00:00,429.8,448.3,424.7,438.7,109297.13577914
2022-01-10 01:00:00,438.9,447.1,402.0,424.9,193602.62849141
2022-01-11 01:00:00,424.9,471.4,417.2,463.6,201694.06941842
2022-01-12 01:00:00,464.2,494.5,455.9,488.1,153510.6126395
2022-01-13 01:00:00,488.0,498.0,463.0,475.3,159586.98532533
2022-01-14 01:00:00,475.3,490.9,472.4,478.8,53495.90354845
2022-01-15 01:00:00,490.3,501.3,485.9,494.9,98456.607
2022-01-16 01:00:00,494.7,506.1,489.2,499.0,89179.287
2022-01-17 01:00:00,499.2,499.3,467.3,475.7,119731.753
2022-01-18 01:00:00,476.0,479.7,457.3,471.6,108094.689
2022-01-19 01:00:00,472.0,473.1,453.7,462.3,101994.988
2022-01-20 01:00:00,462.6,478.8,438.8,440.1,194275.892
2022-01-21 01:00:00,440.0,444.9,377.1,384.0,246659.569
2022-01-22 01:00:00,384.3,389.2,339.0,358.3,329736.143
2022-01-23 01:00:00,358.4,388.9,356.7,384.4,187432.297
2022-01-24 01:00:00,384.4,384.4,337.6,371.6,232897.687
2022-01-25 01:00:00,371.0,388.4,357.8,385.5,151576.325
2022-01-26 01:00:00,385.4,402.2,366.8,375.4,163893.454
2022-01-27 01:00:00,375.5,393.5,359.8,390.4,163805.183
2022-01-28 01:00:00,390.4,395.7,376.3,386.1,136511.678
2022-01-29 01:00:00,386.2,397.4,381.3,389.4,92555.877
2022-01-30 01:00:00,389.4,389.7,372.9,377.6,122634.416
2022-01-31 01:00:00,377.5,386.0,365.9,374.6,118319.722
